,date,Zomato IPO,PayTM IPO,nykaa IPO,West Bengal Election,google news,T20 World Cup,Omicron,Bipin Rawat Death,Independence Day,google news.1,Covid Second Wave,Taliban Takeover of Afghanistan,Air India Bid Tata Group,Neeraj Chopra,google news.2
32,2021-08-22,0.1,0.1,0.1,0.1,1.0,1.0,0.1,0.1,1.0,1.0,0.1,0.1,0.1,0.6666666666666661,1.0
33,2021-08-29,0.1,0.1,0.1,0.1,1.0,1.0,0.1,0.1,1.0,1.0,0.1,0.1,0.1,0.555555555555556,1.0
34,2021-09-05,0.1,0.1,0.1,0.1,0.8,4.8,0.1,0.1,0.8,0.8,0.1,0.1,0.1,0.457142857142858,0.8
35,2021-09-12,0.1,0.1,0.1,0.1,0.8,1.6,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.5714285714285721,0.8
36,2021-09-19,0.1,0.1,0.1,0.1,0.8,1.6,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.457142857142858,0.8
37,2021-09-26,0.1,0.1,0.1,0.2,0.8,1.6,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.4,0.8
38,2021-10-03,0.1,0.1,0.1,0.4,0.8,2.4,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.3,0.8
39,2021-10-10,0.1,0.1,0.1,0.1,0.8,7.2,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.2,0.8
40,2021-10-17,0.1,0.1,0.2,0.1,0.8,33.6,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.2,0.8
41,2021-10-24,0.1,0.2,1.6,0.1,0.8,56.8,0.1,0.1,0.1,0.8,0.1,0.1,0.1,0.2,0.8
42,2021-10-31,0.1,0.4,1.2,0.1,1.0,100.0,0.1,0.1,0.1,1.0,0.1,0.1,0.1,0.25,1.0
43,2021-11-07,0.1,2.6,2.6,0.1,1.0,62.0,0.1,0.1,0.1,1.0,0.1,0.1,0.1,0.1111111111111112,1.0
44,2021-11-14,0.1,2.4,0.2,0.1,1.0,16.0,0.1,0.1,0.1,1.0,0.1,0.1,0.1,0.1111111111111112,1.0
45,2021-11-21,0.1,0.4,0.1,0.1,0.8,1.6,0.8,0.1,0.1,0.8,0.1,0.1,0.1,0.1,0.8
46,2021-11-28,0.1,0.2,0.1,0.1,1.0,1.0,13.0,0.1,0.1,1.0,0.1,0.1,0.1,0.1111111111111112,1.0
47,2021-12-05,0.1,0.1,0.1,0.1,1.0,1.0,10.0,0.1,0.1,1.0,0.1,0.1,0.1,0.2,1.0
48,2021-12-12,0.1,0.2,0.1,0.1,1.0,0.1,6.0,0.1,0.1,1.0,0.1,0.1,0.1,0.1,1.0
49,2021-12-19,0.1,0.1,0.1,0.1,1.0,0.1,9.0,0.1,0.1,1.0,0.1,0.1,0.1,0.222222222222222,1.0
50,2021-12-26,0.1,0.1,0.1,0.1,1.0,0.1,10.0,0.1,0.1,1.0,0.1,0.1,0.1,0.1111111111111112,1.0
51,2022-01-02,0.1,0.1,0.1,0.1,1.0,0.1,12.0,0.1,0.1,1.0,0.1,0.1,0.1,0.1111111111111112,1.0
